message_id,send_time,channel,segment,program,subject,opens,clicks,replies,unsubscribes,audience_size,open_rate,ctr,reply_rate
M0198,2025-01-31,Email,Contributors,Monthly Challenge,Don’t miss tomorrow’s AMA,194,58,7,0,1285,0.151,0.045,0.005
M0199,2025-02-02,Email,Contributors,Feature Launch,Top tips from the community,169,63,5,0,484,0.349,0.13,0.01
M0200,2025-02-05,Email,Active Builders,Academy Course,New Academy course live,189,71,11,1,1326,0.143,0.054,0.008
M0201,2025-02-06,Email,Contributors,Best Practices Post,Release notes & improvements,165,62,8,0,1126,0.147,0.055,0.007
M0202,2025-02-09,DM,Active Builders,Best Practices Post,Top tips from the community,171,54,5,1,1537,0.111,0.035,0.003
M0203,2025-02-10,DM,New Members,Feature Launch,Release notes & improvements,166,47,12,1,1344,0.124,0.035,0.009
M0204,2025-02-14,DM,New Members,Feature Launch,Don’t miss tomorrow’s AMA,203,65,10,0,630,0.322,0.103,0.016
M0205,2025-02-16,Email,New Members,Feature Launch,Join this week’s challenge,174,51,8,0,1160,0.15,0.044,0.007
M0206,2025-02-18,Email,New Members,Live Event,Release notes & improvements,177,60,8,1,1780,0.099,0.034,0.004
M0207,2025-02-18,Email,New Members,Feature Launch,Join this week’s challenge,174,57,13,1,1910,0.091,0.03,0.007
M0208,2025-02-21,Email,Contributors,Live Event,Join this week’s challenge,175,66,6,0,1139,0.154,0.058,0.005
M0209,2025-02-22,Email,Customers,Feature Launch,Don’t miss tomorrow’s AMA,183,52,9,0,1663,0.11,0.031,0.005
M0210,2025-02-26,Announcement,Contributors,Live Event,New Academy course live,159,55,15,0,1701,0.093,0.032,0.009
M0211,2025-02-26,Announcement,Contributors,Best Practices Post,New Academy course live,183,63,20,0,1387,0.132,0.045,0.014
M0212,2025-02-28,Email,Contributors,Best Practices Post,Top tips from the community,180,58,10,0,899,0.2,0.065,0.011
M0213,2025-03-02,Email,Contributors,Monthly Challenge,Top tips from the community,205,49,8,0,1263,0.162,0.039,0.006
M0214,2025-03-04,Announcement,Active Builders,Monthly Challenge,Release notes & improvements,186,75,7,1,731,0.254,0.103,0.01
M0215,2025-03-07,DM,Customers,Academy Course,Release notes & improvements,201,55,11,1,1150,0.175,0.048,0.01
M0216,2025-03-10,Email,New Members,Academy Course,Release notes & improvements,186,67,5,0,566,0.329,0.118,0.009
M0217,2025-03-10,Email,New Members,Feature Launch,Release notes & improvements,154,47,9,0,1352,0.114,0.035,0.007
M0218,2025-03-14,Email,Lurkers,Live Event,Top tips from the community,180,56,10,1,1110,0.162,0.05,0.009
M0219,2025-03-14,DM,Lurkers,Best Practices Post,Release notes & improvements,175,47,6,0,1993,0.088,0.024,0.003
M0220,2025-03-17,DM,Customers,Live Event,Top tips from the community,191,67,13,0,464,0.412,0.144,0.028
M0221,2025-03-19,DM,Active Builders,Best Practices Post,Release notes & improvements,171,59,7,0,1363,0.125,0.043,0.005
M0222,2025-03-20,Announcement,Active Builders,Academy Course,Don’t miss tomorrow’s AMA,192,57,9,2,1841,0.104,0.031,0.005
M0223,2025-03-23,Email,Active Builders,Monthly Challenge,Release notes & improvements,163,58,13,1,1364,0.12,0.043,0.01
M0224,2025-03-26,DM,Lurkers,Academy Course,Release notes & improvements,185,50,11,0,316,0.585,0.158,0.035
M0225,2025-03-26,Announcement,Customers,Live Event,Top tips from the community,181,57,13,0,694,0.261,0.082,0.019
M0226,2025-03-28,Email,Contributors,Live Event,Top tips from the community,194,68,14,1,1756,0.11,0.039,0.008
M0227,2025-03-30,Email,Customers,Monthly Challenge,Top tips from the community,190,52,11,0,1796,0.106,0.029,0.006
M0228,2025-04-02,DM,Customers,Live Event,Join this week’s challenge,163,45,9,1,865,0.188,0.052,0.01
M0229,2025-04-03,Email,New Members,Feature Launch,New Academy course live,162,51,14,0,1726,0.094,0.03,0.008
M0230,2025-04-06,Announcement,Customers,Live Event,Top tips from the community,180,58,13,0,1706,0.106,0.034,0.008
M0231,2025-04-08,Email,New Members,Live Event,Don’t miss tomorrow’s AMA,178,49,6,0,1095,0.163,0.045,0.005
M0232,2025-04-10,Email,Contributors,Academy Course,Release notes & improvements,181,60,9,1,1322,0.137,0.045,0.007
M0233,2025-04-13,Announcement,New Members,Live Event,New Academy course live,195,51,5,0,1433,0.136,0.036,0.003
M0234,2025-04-15,Email,New Members,Monthly Challenge,New Academy course live,198,61,4,0,1728,0.115,0.035,0.002
M0235,2025-04-15,Announcement,New Members,Monthly Challenge,Don’t miss tomorrow’s AMA,171,60,7,2,300,0.57,0.2,0.023
M0236,2025-04-17,Email,New Members,Feature Launch,New Academy course live,182,66,14,0,1815,0.1,0.036,0.008
M0237,2025-04-19,Email,Customers,Live Event,Join this week’s challenge,180,51,12,0,557,0.323,0.092,0.022
M0238,2025-04-23,Email,Lurkers,Academy Course,Don’t miss tomorrow’s AMA,151,85,9,0,1171,0.129,0.073,0.008
M0239,2025-04-25,Email,Lurkers,Academy Course,Don’t miss tomorrow’s AMA,166,58,14,1,1485,0.112,0.039,0.009
M0240,2025-04-25,Email,Active Builders,Live Event,Release notes & improvements,181,58,11,0,1824,0.099,0.032,0.006
M0241,2025-04-29,Email,Contributors,Academy Course,Don’t miss tomorrow’s AMA,164,56,13,1,555,0.295,0.101,0.023
M0242,2025-05-01,Email,Active Builders,Monthly Challenge,Don’t miss tomorrow’s AMA,167,66,12,0,476,0.351,0.139,0.025
M0243,2025-05-03,Announcement,Lurkers,Academy Course,Release notes & improvements,185,57,13,0,1833,0.101,0.031,0.007
M0244,2025-05-04,Announcement,Active Builders,Academy Course,New Academy course live,174,66,5,1,1480,0.118,0.045,0.003
M0245,2025-05-06,DM,Contributors,Feature Launch,Release notes & improvements,160,65,8,0,734,0.218,0.089,0.011
M0246,2025-05-08,Announcement,Lurkers,Feature Launch,Join this week’s challenge,164,76,7,1,1414,0.116,0.054,0.005
M0247,2025-05-09,Announcement,New Members,Best Practices Post,Release notes & improvements,192,56,10,0,974,0.197,0.057,0.01
M0248,2025-05-12,Email,Lurkers,Monthly Challenge,Release notes & improvements,206,58,7,0,1471,0.14,0.039,0.005
M0249,2025-05-15,Email,Active Builders,Monthly Challenge,Release notes & improvements,174,55,8,1,763,0.228,0.072,0.01
M0250,2025-05-15,DM,New Members,Academy Course,Don’t miss tomorrow’s AMA,169,53,5,1,1728,0.098,0.031,0.003
M0251,2025-05-18,Email,Lurkers,Monthly Challenge,Don’t miss tomorrow’s AMA,186,65,13,1,524,0.355,0.124,0.025
M0252,2025-05-19,Email,New Members,Monthly Challenge,New Academy course live,163,58,13,0,1576,0.103,0.037,0.008
M0253,2025-05-23,Announcement,New Members,Academy Course,Top tips from the community,189,67,7,0,1693,0.112,0.04,0.004
M0254,2025-05-24,Announcement,Active Builders,Best Practices Post,Join this week’s challenge,171,59,5,2,1521,0.112,0.039,0.003
M0255,2025-05-26,DM,Contributors,Academy Course,Don’t miss tomorrow’s AMA,206,67,10,0,662,0.311,0.101,0.015
M0256,2025-05-28,DM,Lurkers,Feature Launch,Release notes & improvements,175,70,11,0,753,0.232,0.093,0.015
M0257,2025-05-31,DM,Lurkers,Feature Launch,Don’t miss tomorrow’s AMA,178,64,10,0,1879,0.095,0.034,0.005
M0258,2025-06-02,Announcement,Active Builders,Academy Course,Top tips from the community,219,50,8,0,1478,0.148,0.034,0.005
M0259,2025-06-02,Email,Customers,Live Event,Join this week’s challenge,205,50,10,0,877,0.234,0.057,0.011
M0260,2025-06-04,DM,Lurkers,Live Event,Top tips from the community,198,66,8,0,770,0.257,0.086,0.01
M0261,2025-06-06,Email,Active Builders,Feature Launch,Don’t miss tomorrow’s AMA,171,63,14,1,1087,0.157,0.058,0.013
M0262,2025-06-09,Email,Customers,Best Practices Post,New Academy course live,169,50,13,1,1044,0.162,0.048,0.012
M0263,2025-06-12,DM,New Members,Best Practices Post,Join this week’s challenge,175,62,12,0,805,0.217,0.077,0.015
M0264,2025-06-14,Email,Customers,Monthly Challenge,Join this week’s challenge,181,56,7,0,1972,0.092,0.028,0.004
M0265,2025-06-14,Email,Lurkers,Live Event,Top tips from the community,179,54,9,0,1522,0.118,0.035,0.006
M0266,2025-06-16,Email,New Members,Live Event,Join this week’s challenge,166,69,14,0,1658,0.1,0.042,0.008
M0267,2025-06-19,DM,Customers,Academy Course,Release notes & improvements,173,64,14,2,1500,0.115,0.043,0.009
M0268,2025-06-20,Email,Active Builders,Live Event,Don’t miss tomorrow’s AMA,178,68,13,0,1530,0.116,0.044,0.008
M0269,2025-06-22,Announcement,Customers,Monthly Challenge,Top tips from the community,177,57,5,0,724,0.244,0.079,0.007
M0270,2025-06-26,DM,Active Builders,Live Event,Don’t miss tomorrow’s AMA,164,61,11,0,1447,0.113,0.042,0.008
M0271,2025-06-27,DM,New Members,Feature Launch,Join this week’s challenge,198,67,10,0,326,0.607,0.206,0.031
M0272,2025-06-30,Announcement,New Members,Best Practices Post,Don’t miss tomorrow’s AMA,192,65,10,0,1839,0.104,0.035,0.005
M0273,2025-06-30,Email,Customers,Best Practices Post,Top tips from the community,178,44,6,0,1344,0.132,0.033,0.004
M0274,2025-07-03,Email,Contributors,Feature Launch,Top tips from the community,159,66,14,1,628,0.253,0.105,0.022
M0275,2025-07-06,Announcement,Lurkers,Feature Launch,Don’t miss tomorrow’s AMA,183,65,6,0,1204,0.152,0.054,0.005
M0276,2025-07-06,Announcement,Contributors,Best Practices Post,Release notes & improvements,178,56,10,0,1322,0.135,0.042,0.008
M0277,2025-07-08,Email,Lurkers,Monthly Challenge,Top tips from the community,172,55,6,1,1956,0.088,0.028,0.003
M0278,2025-07-10,DM,New Members,Live Event,New Academy course live,156,72,6,3,1613,0.097,0.045,0.004
M0279,2025-07-12,Email,Lurkers,Feature Launch,Top tips from the community,165,64,13,0,1076,0.153,0.059,0.012
M0280,2025-07-15,Email,New Members,Academy Course,Join this week’s challenge,203,60,13,0,1459,0.139,0.041,0.009
M0281,2025-07-18,Email,Contributors,Feature Launch,Join this week’s challenge,192,64,10,0,1471,0.131,0.044,0.007
M0282,2025-07-18,Email,Contributors,Live Event,Join this week’s challenge,161,59,11,1,1808,0.089,0.033,0.006
M0283,2025-07-21,Email,New Members,Live Event,Don’t miss tomorrow’s AMA,182,56,9,0,1801,0.101,0.031,0.005
M0284,2025-07-24,Announcement,Lurkers,Academy Course,Don’t miss tomorrow’s AMA,203,59,13,1,732,0.277,0.081,0.018
M0285,2025-07-25,Email,Active Builders,Best Practices Post,Join this week’s challenge,172,73,7,0,852,0.202,0.086,0.008
M0286,2025-07-28,Email,Lurkers,Monthly Challenge,Top tips from the community,193,62,10,0,1438,0.134,0.043,0.007
M0287,2025-07-30,Email,Customers,Academy Course,New Academy course live,160,52,8,0,1609,0.099,0.032,0.005
M0288,2025-07-31,Email,New Members,Academy Course,Top tips from the community,170,66,19,1,1004,0.169,0.066,0.019
M0289,2025-08-02,Email,Active Builders,Monthly Challenge,Don’t miss tomorrow’s AMA,193,61,8,1,1780,0.108,0.034,0.004
M0290,2025-08-04,Email,New Members,Feature Launch,New Academy course live,182,64,11,2,650,0.28,0.098,0.017
M0291,2025-08-07,DM,Contributors,Best Practices Post,Don’t miss tomorrow’s AMA,187,59,13,0,1063,0.176,0.056,0.012
M0292,2025-08-08,Email,Contributors,Best Practices Post,New Academy course live,158,56,10,0,1940,0.081,0.029,0.005
M0293,2025-08-09,Email,New Members,Feature Launch,New Academy course live,165,62,6,0,337,0.49,0.184,0.018
M0294,2025-08-13,Email,Contributors,Live Event,Release notes & improvements,173,63,5,1,484,0.357,0.13,0.01
M0295,2025-08-15,DM,New Members,Academy Course,Release notes & improvements,180,51,9,0,709,0.254,0.072,0.013
M0296,2025-08-17,Email,Lurkers,Feature Launch,Join this week’s challenge,167,61,12,1,313,0.534,0.195,0.038
M0297,2025-08-17,Email,Customers,Best Practices Post,Don’t miss tomorrow’s AMA,192,46,8,0,1616,0.119,0.028,0.005
M0298,2025-08-21,Email,Active Builders,Monthly Challenge,Top tips from the community,173,63,6,0,1402,0.123,0.045,0.004
M0299,2025-08-23,Email,Lurkers,Feature Launch,Top tips from the community,174,64,7,0,482,0.361,0.133,0.015
M0300,2025-08-24,Email,Contributors,Live Event,Don’t miss tomorrow’s AMA,189,61,12,1,1406,0.134,0.043,0.009
M0301,2025-08-27,Email,Customers,Feature Launch,Top tips from the community,191,54,14,0,741,0.258,0.073,0.019
M0302,2025-08-27,DM,Lurkers,Best Practices Post,Don’t miss tomorrow’s AMA,178,73,13,0,1019,0.175,0.072,0.013
M0303,2025-08-31,Email,New Members,Feature Launch,Join this week’s challenge,166,76,9,1,411,0.404,0.185,0.022
M0304,2025-08-31,Announcement,Active Builders,Feature Launch,Top tips from the community,184,57,9,0,942,0.195,0.061,0.01
M0305,2025-09-03,Email,New Members,Academy Course,Don’t miss tomorrow’s AMA,176,62,13,0,775,0.227,0.08,0.017
M0306,2025-09-04,Email,New Members,Live Event,Release notes & improvements,174,56,15,0,884,0.197,0.063,0.017
M0307,2025-09-08,DM,Lurkers,Live Event,New Academy course live,191,61,11,0,559,0.342,0.109,0.02
M0308,2025-09-08,DM,Customers,Best Practices Post,Join this week’s challenge,191,70,14,0,1466,0.13,0.048,0.01
M0309,2025-09-11,Announcement,Active Builders,Monthly Challenge,Release notes & improvements,166,58,10,1,569,0.292,0.102,0.018
M0310,2025-09-12,Email,Lurkers,Academy Course,New Academy course live,208,70,10,1,476,0.437,0.147,0.021
M0311,2025-09-15,DM,New Members,Monthly Challenge,Release notes & improvements,157,58,7,0,1422,0.11,0.041,0.005
M0312,2025-09-17,Announcement,Active Builders,Best Practices Post,Don’t miss tomorrow’s AMA,204,60,3,1,947,0.215,0.063,0.003
M0313,2025-09-18,Email,Contributors,Academy Course,Release notes & improvements,183,61,11,1,433,0.423,0.141,0.025
M0314,2025-09-22,Email,Active Builders,Feature Launch,Release notes & improvements,166,76,10,1,1999,0.083,0.038,0.005
M0315,2025-09-24,DM,Customers,Live Event,New Academy course live,195,73,12,2,569,0.343,0.128,0.021
M0316,2025-09-26,Email,New Members,Feature Launch,Join this week’s challenge,186,46,8,0,1117,0.167,0.041,0.007
M0317,2025-09-28,Announcement,Lurkers,Best Practices Post,Top tips from the community,186,67,10,1,1325,0.14,0.051,0.008
M0318,2025-09-29,DM,Lurkers,Feature Launch,Top tips from the community,186,54,9,0,1550,0.12,0.035,0.006
M0319,2025-10-02,Announcement,Customers,Monthly Challenge,Don’t miss tomorrow’s AMA,191,66,10,0,1064,0.18,0.062,0.009
M0320,2025-10-03,Email,Active Builders,Academy Course,Release notes & improvements,185,67,8,0,1816,0.102,0.037,0.004
M0321,2025-10-06,DM,Contributors,Academy Course,Join this week’s challenge,173,59,12,1,582,0.297,0.101,0.021
M0322,2025-10-07,Email,Customers,Best Practices Post,Don’t miss tomorrow’s AMA,168,59,10,0,584,0.288,0.101,0.017
M0323,2025-10-08,Email,New Members,Live Event,Join this week’s challenge,150,66,6,1,1723,0.087,0.038,0.003
M0324,2025-10-10,DM,Contributors,Academy Course,Join this week’s challenge,175,48,7,0,869,0.201,0.055,0.008
M0325,2025-10-13,Announcement,New Members,Academy Course,Release notes & improvements,195,55,8,1,872,0.224,0.063,0.009
M0326,2025-10-16,Email,Contributors,Monthly Challenge,Don’t miss tomorrow’s AMA,189,50,6,0,1199,0.158,0.042,0.005
M0327,2025-10-16,Email,Customers,Monthly Challenge,Top tips from the community,191,53,11,1,410,0.466,0.129,0.027
M0328,2025-10-18,Email,Contributors,Feature Launch,Top tips from the community,158,52,14,0,1320,0.12,0.039,0.011
M0329,2025-10-20,Email,Customers,Academy Course,Don’t miss tomorrow’s AMA,189,66,6,0,536,0.353,0.123,0.011
M0330,2025-10-23,DM,New Members,Monthly Challenge,Don’t miss tomorrow’s AMA,188,64,7,0,581,0.324,0.11,0.012
M0331,2025-10-25,Email,New Members,Best Practices Post,Top tips from the community,165,58,4,0,590,0.28,0.098,0.007
M0332,2025-10-28,Email,Lurkers,Live Event,Top tips from the community,189,60,12,0,897,0.211,0.067,0.013
M0333,2025-10-28,DM,Customers,Monthly Challenge,Join this week’s challenge,173,64,9,1,1855,0.093,0.035,0.005
M0334,2025-10-30,Announcement,Lurkers,Monthly Challenge,Join this week’s challenge,167,72,10,1,824,0.203,0.087,0.012
M0335,2025-11-02,Email,Lurkers,Live Event,Release notes & improvements,170,64,8,1,1639,0.104,0.039,0.005
M0336,2025-11-04,Email,Contributors,Monthly Challenge,Release notes & improvements,171,54,8,0,579,0.295,0.093,0.014
M0337,2025-11-06,DM,Active Builders,Monthly Challenge,Don’t miss tomorrow’s AMA,182,47,5,1,656,0.277,0.072,0.008
M0338,2025-11-08,Email,Contributors,Academy Course,Top tips from the community,183,50,8,2,1193,0.153,0.042,0.007
M0339,2025-11-11,Email,Active Builders,Monthly Challenge,Top tips from the community,169,53,7,0,355,0.476,0.149,0.02
M0340,2025-11-13,DM,New Members,Academy Course,New Academy course live,147,65,14,1,1853,0.079,0.035,0.008
M0341,2025-11-14,DM,Lurkers,Live Event,Join this week’s challenge,171,51,8,0,1121,0.153,0.045,0.007
M0342,2025-11-17,Email,New Members,Academy Course,Don’t miss tomorrow’s AMA,198,52,11,2,1621,0.122,0.032,0.007
M0343,2025-11-19,DM,New Members,Feature Launch,Join this week’s challenge,195,71,13,1,540,0.361,0.131,0.024
M0344,2025-11-20,DM,Lurkers,Monthly Challenge,New Academy course live,151,65,10,0,849,0.178,0.077,0.012
M0345,2025-11-22,Announcement,New Members,Monthly Challenge,Join this week’s challenge,211,66,4,2,596,0.354,0.111,0.007
M0346,2025-11-23,Email,Contributors,Best Practices Post,Top tips from the community,184,66,6,1,608,0.303,0.109,0.01
M0347,2025-11-25,Announcement,Customers,Academy Course,New Academy course live,191,55,8,1,889,0.215,0.062,0.009
M0348,2025-11-29,Email,Lurkers,Monthly Challenge,New Academy course live,193,67,9,0,558,0.346,0.12,0.016
M0349,2025-12-01,DM,Lurkers,Live Event,Top tips from the community,160,76,7,1,1319,0.121,0.058,0.005
M0350,2025-12-02,DM,Contributors,Academy Course,Join this week’s challenge,174,71,14,0,1988,0.088,0.036,0.007
M0351,2025-12-05,Announcement,Contributors,Monthly Challenge,New Academy course live,175,73,15,0,1101,0.159,0.066,0.014
M0352,2025-12-05,DM,Active Builders,Live Event,Join this week’s challenge,170,63,9,0,495,0.343,0.127,0.018
M0353,2025-12-07,Email,Customers,Live Event,Top tips from the community,188,66,8,1,379,0.496,0.174,0.021
M0354,2025-12-10,DM,New Members,Best Practices Post,Join this week’s challenge,182,55,10,0,1694,0.107,0.032,0.006
M0355,2025-12-11,Email,Active Builders,Feature Launch,Top tips from the community,188,49,12,0,1812,0.104,0.027,0.007
M0356,2025-12-13,Announcement,Active Builders,Live Event,Top tips from the community,185,52,4,1,803,0.23,0.065,0.005
M0357,2025-12-16,Email,Contributors,Best Practices Post,New Academy course live,200,49,10,0,1837,0.109,0.027,0.005
M0358,2025-12-19,Email,Contributors,Monthly Challenge,Join this week’s challenge,170,73,12,0,1873,0.091,0.039,0.006
M0359,2025-12-19,DM,Contributors,Feature Launch,Top tips from the community,181,49,9,1,1473,0.123,0.033,0.006
M0360,2025-12-21,Email,Customers,Live Event,Don’t miss tomorrow’s AMA,193,52,4,0,538,0.359,0.097,0.007
M0361,2025-12-25,DM,New Members,Monthly Challenge,Join this week’s challenge,189,68,12,0,484,0.39,0.14,0.025
M0362,2025-12-26,DM,New Members,Best Practices Post,Top tips from the community,170,78,13,0,569,0.299,0.137,0.023
M0363,2025-12-28,DM,Customers,Best Practices Post,Don’t miss tomorrow’s AMA,196,57,15,0,1063,0.184,0.054,0.014
M0364,2025-12-30,Announcement,Contributors,Live Event,Release notes & improvements,191,60,15,0,1834,0.104,0.033,0.008
M0365,2026-01-01,Email,Active Builders,Academy Course,Top tips from the community,185,49,14,1,427,0.433,0.115,0.033
M0366,2026-01-04,Email,Active Builders,Monthly Challenge,Don’t miss tomorrow’s AMA,173,57,9,1,1835,0.094,0.031,0.005
M0367,2026-01-04,Email,Lurkers,Academy Course,New Academy course live,175,70,11,0,1981,0.088,0.035,0.006
M0368,2026-01-07,Email,Active Builders,Academy Course,Join this week’s challenge,178,58,10,3,1806,0.099,0.032,0.006
M0369,2026-01-10,Email,Lurkers,Live Event,New Academy course live,185,48,12,0,879,0.21,0.055,0.014
M0370,2026-01-10,DM,Lurkers,Live Event,Release notes & improvements,155,60,10,0,408,0.38,0.147,0.025
M0371,2026-01-14,Email,Lurkers,Best Practices Post,Don’t miss tomorrow’s AMA,186,55,18,0,878,0.212,0.063,0.021
M0372,2026-01-14,Email,Contributors,Academy Course,Release notes & improvements,196,65,13,0,589,0.333,0.11,0.022
M0373,2026-01-18,Announcement,Customers,Feature Launch,New Academy course live,159,47,6,0,1372,0.116,0.034,0.004
M0374,2026-01-20,Announcement,Contributors,Feature Launch,New Academy course live,187,52,15,1,789,0.237,0.066,0.019
M0375,2026-01-20,Email,Contributors,Best Practices Post,New Academy course live,220,57,16,0,1285,0.171,0.044,0.012
M0376,2026-01-23,Email,Active Builders,Academy Course,Top tips from the community,168,64,8,0,445,0.378,0.144,0.018
M0377,2026-01-24,Announcement,Contributors,Academy Course,New Academy course live,180,61,9,1,366,0.492,0.167,0.025
M0378,2026-01-28,DM,New Members,Academy Course,Join this week’s challenge,166,68,6,0,388,0.428,0.175,0.015
M0379,2026-01-28,Email,Active Builders,Best Practices Post,Don’t miss tomorrow’s AMA,190,45,11,0,1012,0.188,0.044,0.011
M0380,2026-02-01,Email,Active Builders,Feature Launch,Release notes & improvements,169,54,13,0,1875,0.09,0.029,0.007
M0381,2026-02-03,Announcement,Lurkers,Feature Launch,Join this week’s challenge,210,50,9,0,1573,0.134,0.032,0.006
M0382,2026-02-04,Email,Customers,Feature Launch,Don’t miss tomorrow’s AMA,179,77,11,0,730,0.245,0.105,0.015
M0383,2026-02-07,Announcement,Active Builders,Academy Course,Release notes & improvements,187,58,13,1,1851,0.101,0.031,0.007
M0384,2026-02-09,DM,New Members,Monthly Challenge,Top tips from the community,173,65,8,1,1352,0.128,0.048,0.006
M0385,2026-02-09,Email,Active Builders,Monthly Challenge,Join this week’s challenge,179,58,13,0,1126,0.159,0.052,0.012
M0386,2026-02-12,Announcement,Lurkers,Academy Course,Join this week’s challenge,185,53,8,0,944,0.196,0.056,0.008
M0387,2026-02-13,Email,Customers,Feature Launch,New Academy course live,199,54,9,0,1176,0.169,0.046,0.008
M0388,2026-02-16,Email,New Members,Monthly Challenge,New Academy course live,184,68,9,0,324,0.568,0.21,0.028
M0389,2026-02-17,DM,New Members,Monthly Challenge,Release notes & improvements,158,56,7,0,1293,0.122,0.043,0.005
M0390,2026-02-20,Email,Customers,Live Event,Release notes & improvements,195,54,11,0,920,0.212,0.059,0.012
M0391,2026-02-23,Announcement,Active Builders,Best Practices Post,Release notes & improvements,169,79,8,0,611,0.277,0.129,0.013
M0392,2026-02-24,DM,New Members,Feature Launch,Release notes & improvements,195,55,8,1,1574,0.124,0.035,0.005
M0393,2026-02-26,Email,Active Builders,Live Event,Don’t miss tomorrow’s AMA,197,66,15,0,442,0.446,0.149,0.034
M0394,2026-02-28,Email,New Members,Monthly Challenge,Top tips from the community,181,59,8,2,1926,0.094,0.031,0.004
M0395,2026-03-01,Email,New Members,Monthly Challenge,New Academy course live,179,63,6,1,1019,0.176,0.062,0.006
M0396,2026-03-03,DM,Lurkers,Academy Course,Release notes & improvements,156,52,14,0,345,0.452,0.151,0.041
M0397,2026-03-05,Email,Lurkers,Live Event,Join this week’s challenge,165,74,6,0,349,0.473,0.212,0.017
M0398,2026-03-09,DM,Lurkers,Best Practices Post,Release notes & improvements,183,67,7,2,1019,0.18,0.066,0.007
M0399,2026-03-09,Announcement,Contributors,Live Event,Release notes & improvements,194,68,7,2,1548,0.125,0.044,0.005
